"book_id","specification_id","value"
220,2,"6+"
220,3,"Nhà Xuất Bản Kim Đồng"
220,6,"Nguyễn Thị Thắm"
220,4,"Tiếng Việt"
221,1,"8935244824346"
221,3,"Nhà Xuất Bản Kim Đồng"
222,1,"8935244869156"
222,3,"Nhà Xuất Bản Kim Đồng"
222,6,"Nguyễn Thị Thắm"
223,1,"8935352611234"
223,3,"Nhà Xuất Bản Kim Đồng"
223,6,"Ngọc Anh"
223,4,"Tiếng Việt"
224,1,"9786048898588"
224,3,"Cty Văn Hóa & Truyền Thông Trí Việt."
225,1,"8935244869149"
225,3,"Nhà Xuất Bản Kim Đồng"
225,6,"Nguyễn Thị Thắm"
226,1,"8935244893472"
226,2,"6+"
226,3,"Nhà Xuất Bản Kim Đồng"
226,6,"Nguyễn Thị Thắm"
226,4,"Tiếng Việt"
227,1,"8935244841619"
227,3,"Nhà Xuất Bản Kim Đồng"
227,6,"Nguyễn Thị Hồng Hà"
228,1,"8935244894813"
228,2,"6+"
228,3,"Nhà Xuất Bản Kim Đồng"
228,6,"Ngọc Anh"
228,4,"Tiếng Việt"
229,1,"8935244886511"
229,3,"Nhà Xuất Bản Kim Đồng"
229,6,"Lê Thuỳ Dung"
229,4,"Tiếng Việt"
230,1,"8935244886528"
230,3,"Nhà Xuất Bản Kim Đồng"
230,6,"Thanh Thuỷ"
230,4,"Tiếng Việt"
231,1,"8935244827507"
231,3,"Nhà Xuất Bản Kim Đồng"
231,6,"Nguyễn Thị Thắm"
232,1,"8935235235526"
232,3,"Nhã Nam"
233,1,"8935072954147"
233,7,"Cty Văn Hóa Nhân Văn"
234,1,"8935072954154"
234,7,"Cty Văn Hóa Nhân Văn"
235,1,"8936036314168"
235,7,"Cty Giáo Dục Đức Trí"
236,1,"8931805616122"
236,3,"Cty TNHH TM&DV VH GD Phía Nam"
237,1,"9786044135090"
237,3,"BÁO TIỀN PHONG"
237,4,"Tiếng Việt"
238,1,"8936071299819"
238,3,"Cty Phan Thị"
239,1,"8936036315394"
239,7,"Cty Giáo Dục Đức Trí"
240,1,"8935212339155"
240,3,"Đinh Tị"
241,1,"8935212339179"
241,3,"Đinh Tị"
241,4,"Tiếng Việt"
242,1,"8936071299857"
242,3,"Cty Phan Thị"
242,4,"Tiếng Việt"
243,1,"8931805616290"
243,3,"Cty TNHH TM&DV VH GD Phía Nam"
244,1,"8936067605877"
244,3,"Minh Long"
245,1,"8936071299833"
245,3,"Cty Phan Thị"
245,4,"Tiếng Việt"
246,1,"8936067605884"
246,3,"Minh Long"
247,1,"8936071299840"
247,3,"Cty Phan Thị"
247,4,"Tiếng Việt"
248,1,"9786044905594"
248,3,"Cty Văn Hóa Việt Thư"
249,1,"8935072954130"
249,7,"Cty Văn Hóa Nhân Văn"
250,1,"9786043909487"
250,3,"Cty Văn Hóa Việt Thư"
