"id","code","name","district_id"
118,"00382","Xã Minh Trí",10
119,"00385","Xã Hồng Kỳ",10
120,"00388","Xã Nam Sơn",10
121,"00391","Xã Trung Giã",10
122,"00394","Xã Tân Hưng",10
123,"00397","Xã Minh Phú",10
124,"00400","Xã Phù Linh",10
125,"00403","Xã Bắc Phú",10
126,"00406","Xã Tân Minh",10
127,"00409","Xã Quang Tiến",10
128,"00412","Xã Hiền Ninh",10
129,"00415","Xã Tân Dân",10
130,"00418","Xã Tiên Dược",10
131,"00421","Xã Việt Long",10
132,"00424","Xã Xuân Giang",10
133,"00427","Xã Mai Đình",10
134,"00430","Xã Đức Hoà",10
135,"00433","Xã Thanh Xuân",10
136,"00436","Xã Đông Xuân",10
137,"00439","Xã Kim Lũ",10
138,"00442","Xã Phú Cường",10
139,"00445","Xã Phú Minh",10
140,"00448","Xã Phù Lỗ",10
141,"00451","Xã Xuân Thu",10
142,"00454","Thị trấn Đông Anh",11
143,"00457","Xã Xuân Nộn",11
144,"00460","Xã Thuỵ Lâm",11
145,"00463","Xã Bắc Hồng",11
146,"00466","Xã Nguyên Khê",11
147,"00469","Xã Nam Hồng",11
148,"00472","Xã Tiên Dương",11
149,"00475","Xã Vân Hà",11
150,"00478","Xã Uy Nỗ",11
151,"00481","Xã Vân Nội",11
152,"00484","Xã Liên Hà",11
153,"00487","Xã Việt Hùng",11
154,"00490","Xã Kim Nỗ",11
155,"00493","Xã Kim Chung",11
156,"00496","Xã Dục Tú",11
157,"00499","Xã Đại Mạch",11
158,"00502","Xã Vĩnh Ngọc",11
159,"00505","Xã Cổ Loa",11
160,"00508","Xã Hải Bối",11
161,"00511","Xã Xuân Canh",11
162,"00514","Xã Võng La",11
163,"00517","Xã Tàm Xá",11
164,"00520","Xã Mai Lâm",11
165,"00523","Xã Đông Hội",11
166,"00526","Thị trấn Yên Viên",12
167,"00529","Xã Yên Thường",12
168,"00532","Xã Yên Viên",12
169,"00535","Xã Ninh Hiệp",12
170,"00541","Xã Thiên Đức",12
171,"00544","Xã Phù Đổng",12
172,"00550","Xã Lệ Chi",12
173,"00553","Xã Cổ Bi",12
174,"00556","Xã Đặng Xá",12
175,"00562","Xã Phú Sơn",12
176,"00565","Thị trấn Trâu Quỳ",12
177,"00568","Xã Dương Quang",12
178,"00571","Xã Dương Xá",12
179,"00577","Xã Đa Tốn",12
180,"00580","Xã Kiêu Kỵ",12
181,"00583","Xã Bát Tràng",12
182,"00589","Xã Kim Đức",12
183,"00592","Phường Cầu Diễn",13
184,"00622","Phường Xuân Phương",13
185,"00623","Phường Phương Canh",13
186,"00625","Phường Mỹ Đình 1",13
187,"00626","Phường Mỹ Đình 2",13
188,"00628","Phường Tây Mỗ",13
189,"00631","Phường Mễ Trì",13
190,"00632","Phường Phú Đô",13
191,"00634","Phường Đại Mỗ",13
192,"00637","Phường Trung Văn",13
193,"00640","Thị trấn Văn Điển",14
194,"00643","Xã Tân Triều",14
195,"00646","Xã Thanh Liệt",14
196,"00649","Xã Tả Thanh Oai",14
197,"00652","Xã Hữu Hoà",14
198,"00655","Xã Tam Hiệp",14
199,"00658","Xã Tứ Hiệp",14
200,"00661","Xã Yên Mỹ",14
201,"00664","Xã Vĩnh Quỳnh",14
202,"00667","Xã Ngũ Hiệp",14
203,"00670","Xã Duyên Hà",14
204,"00673","Xã Ngọc Hồi",14
205,"00676","Xã Vạn Phúc",14
206,"00679","Xã Đại áng",14
207,"00682","Xã Liên Ninh",14
208,"00685","Xã Đông Mỹ",14
209,"00595","Phường Thượng Cát",15
210,"00598","Phường Liên Mạc",15
211,"00601","Phường Đông Ngạc",15
212,"00602","Phường Đức Thắng",15
213,"00604","Phường Thụy Phương",15
214,"00607","Phường Tây Tựu",15
215,"00610","Phường Xuân Đỉnh",15
216,"00611","Phường Xuân Tảo",15
217,"00613","Phường Minh Khai",15
218,"00616","Phường Cổ Nhuế 1",15
219,"00617","Phường Cổ Nhuế 2",15
220,"00619","Phường Phú Diễn",15
221,"00620","Phường Phúc Diễn",15
222,"08973","Thị trấn Chi Đông",16
223,"08974","Xã Đại Thịnh",16
224,"08977","Xã Kim Hoa",16
225,"08980","Xã Thạch Đà",16
226,"08983","Xã Tiến Thắng",16
227,"08986","Xã Tự Lập",16
228,"08989","Thị trấn Quang Minh",16
229,"08992","Xã Thanh Lâm",16
230,"08995","Xã Tam Đồng",16
231,"08998","Xã Liên Mạc",16
232,"09004","Xã Chu Phan",16
233,"09007","Xã Tiến Thịnh",16
234,"09010","Xã Mê Linh",16
235,"09013","Xã Văn Khê",16
236,"09016","Xã Hoàng Kim",16
237,"09019","Xã Tiền Phong",16
238,"09022","Xã Tráng Việt",16
239,"09538","Phường Quang Trung",17
240,"09541","Phường Mộ Lao",17
241,"09542","Phường Văn Quán",17
242,"09544","Phường Vạn Phúc",17
243,"09551","Phường La Khê",17
244,"09552","Phường Phú La",17
245,"09553","Phường Phúc La",17
246,"09556","Phường Hà Cầu",17
247,"09562","Phường Yên Nghĩa",17
248,"09565","Phường Kiến Hưng",17
249,"09568","Phường Phú Lãm",17
250,"09571","Phường Phú Lương",17
251,"09886","Phường Dương Nội",17
252,"10117","Phường Đồng Mai",17
253,"10123","Phường Biên Giang",17
254,"09574","Phường Ngô Quyền",18
255,"09577","Phường Phú Thịnh",18
256,"09586","Phường Sơn Lộc",18
257,"09589","Phường Xuân Khanh",18
258,"09592","Xã Đường Lâm",18
259,"09595","Phường Viên Sơn",18
260,"09598","Xã Xuân Sơn",18
261,"09601","Phường Trung Hưng",18
262,"09604","Xã Thanh Mỹ",18
263,"09607","Phường Trung Sơn Trầm",18
264,"09610","Xã Kim Sơn",18
265,"09613","Xã Sơn Đông",18
266,"09616","Xã Cổ Đông",18
267,"09619","Thị trấn Tây Đằng",19
268,"09625","Xã Phú Cường",19
269,"09628","Xã Cổ Đô",19
270,"09634","Xã Vạn Thắng",19
271,"09640","Xã Phong Vân",19
272,"09643","Xã Phú Đông",19
273,"09646","Xã Phú Hồng",19
274,"09649","Xã Phú Châu",19
275,"09652","Xã Thái Hòa",19
276,"09655","Xã Đồng Thái",19
277,"09658","Xã Phú Sơn",19
278,"09661","Xã Minh Châu",19
279,"09664","Xã Vật Lại",19
280,"09667","Xã Chu Minh",19
281,"09670","Xã Tòng Bạt",19
282,"09673","Xã Cẩm Lĩnh",19
283,"09676","Xã Sơn Đà",19
284,"09679","Xã Đông Quang",19
285,"09682","Xã Tiên Phong",19
286,"09685","Xã Thụy An",19
287,"09688","Xã Cam Thượng",19
288,"09691","Xã Thuần Mỹ",19
289,"09694","Xã Tản Lĩnh",19
290,"09697","Xã Ba Trại",19
291,"09700","Xã Minh Quang",19
292,"09703","Xã Ba Vì",19
293,"09706","Xã Vân Hòa",19
294,"09709","Xã Yên Bài",19
295,"09712","Xã Khánh Thượng",19
296,"09715","Thị trấn Phúc Thọ",20
297,"09721","Xã Vân Phúc",20
298,"09724","Xã Nam Hà",20
299,"09727","Xã Xuân Đình",20
300,"09733","Xã Sen Phương",20
301,"09739","Xã Võng Xuyên",20
302,"09742","Xã Tích Lộc",20
303,"09745","Xã Long Thượng",20
304,"09751","Xã Hát Môn",20
305,"09757","Xã Thanh Đa",20
306,"09760","Xã Trạch Mỹ Lộc",20
307,"09763","Xã Phúc Hòa",20
308,"09766","Xã Ngọc Tảo",20
309,"09769","Xã Phụng Thượng",20
310,"09772","Xã Tam Thuấn",20
311,"09775","Xã Tam Hiệp",20
312,"09778","Xã Hiệp Thuận",20
313,"09781","Xã Liên Hiệp",20
314,"09784","Thị trấn Phùng",21
315,"09787","Xã Trung Châu",21
316,"09790","Xã Thọ An",21
317,"09793","Xã Thọ Xuân",21
318,"09796","Xã Hồng Hà",21
319,"09799","Xã Liên Hồng",21
320,"09802","Xã Liên Hà",21
321,"09805","Xã Hạ Mỗ",21
322,"09808","Xã Liên Trung",21
323,"09811","Xã Phương Đình",21
324,"09814","Xã Thượng Mỗ",21
325,"09817","Xã Tân Hội",21
326,"09820","Xã Tân Lập",21
327,"09823","Xã Đan Phượng",21
328,"09826","Xã Đồng Tháp",21
329,"09829","Xã Song Phượng",21
330,"09832","Thị trấn Trạm Trôi",22
331,"09835","Xã Đức Thượng",22
332,"09838","Xã Minh Khai",22
333,"09841","Xã Dương Liễu",22
334,"09844","Xã Di Trạch",22
335,"09847","Xã Đức Giang",22
336,"09850","Xã Cát Quế",22
337,"09853","Xã Kim Chung",22
338,"09856","Xã Yên Sở",22
339,"09859","Xã Sơn Đồng",22
340,"09862","Xã Vân Canh",22
341,"09865","Xã Đắc Sở",22
342,"09868","Xã Lại Yên",22
343,"09871","Xã Tiền Yên",22
344,"09874","Xã Song Phương",22
345,"09877","Xã An Khánh",22
346,"09880","Xã An Thượng",22
347,"09883","Xã Vân Côn",22
348,"09889","Xã La Phù",22
349,"09892","Xã Đông La",22
350,"04939","Xã Đông Xuân",23
351,"09895","Thị trấn Quốc Oai",23
352,"09898","Xã Sài Sơn",23
353,"09904","Xã Phượng Sơn",23
354,"09907","Xã Ngọc Liệp",23
355,"09910","Xã Ngọc Mỹ",23
356,"09916","Xã Thạch Thán",23
357,"09919","Xã Đồng Quang",23
358,"09922","Xã Phú Cát",23
359,"09925","Xã Tuyết Nghĩa",23
360,"09928","Xã Liệp Nghĩa",23
361,"09931","Xã Cộng Hòa",23
362,"09934","Xã Hưng Đạo",23
363,"09940","Xã Phú Mãn",23
364,"09943","Xã Cấn Hữu",23
365,"09949","Xã Hòa Thạch",23
366,"09952","Xã Đông Yên",23
367,"04927","Xã Yên Trung",24
368,"04930","Xã Yên Bình",24
369,"04936","Xã Tiến Xuân",24
370,"09955","Thị trấn Liên Quan",24
371,"09958","Xã Đại Đồng",24
372,"09961","Xã Cẩm Yên",24
373,"09964","Xã Lại Thượng",24
374,"09967","Xã Phú Kim",24
375,"09970","Xã Hương Ngải",24
376,"09973","Xã Lam Sơn",24
377,"09976","Xã Kim Quan",24
378,"09982","Xã Bình Yên",24
379,"09988","Xã Thạch Hoà",24
380,"09991","Xã Cần Kiệm",24
381,"09997","Xã Phùng Xá",24
382,"10000","Xã Tân Xã",24
383,"10003","Xã Thạch Xá",24
384,"10006","Xã Quang Trung",24
385,"10009","Xã Hạ Bằng",24
386,"10012","Xã Đồng Trúc",24
387,"10015","Thị trấn Chúc Sơn",25
388,"10018","Thị trấn Xuân Mai",25
389,"10021","Xã Phụng Châu",25
390,"10024","Xã Tiên Phương",25
391,"10027","Xã Đông Sơn",25
392,"10030","Xã Đông Phương Yên",25
393,"10033","Xã Phú Nghĩa",25
394,"10039","Xã Trường Yên",25
